"location_name","latitude","longitude","date_time","five_minute_rainfall"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 05:25:00","0.06"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 05:30:00","0.04"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 05:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 05:40:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-23 07:55:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-24 00:05:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-24 05:50:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-25 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-25 05:50:00","0.1"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-25 05:55:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-25 06:10:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-26 00:05:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-27 00:05:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-02-28 00:05:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-01 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-03 17:25:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-03 17:40:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-03 17:45:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-04 00:05:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-17 17:05:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-17 17:10:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-17 17:15:00","0.05"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-17 17:20:00","0.06"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-17 17:25:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-17 17:45:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-18 00:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-19 00:05:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-27 23:25:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 00:05:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 01:15:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 01:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 01:25:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 01:30:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 01:45:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 02:05:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 02:20:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 02:25:00","0.05"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 02:30:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 02:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 02:45:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 02:50:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 02:55:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 03:00:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 03:05:00","0.05"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 03:10:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 03:20:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 03:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 03:30:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 03:35:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 03:40:00","0.05"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 03:45:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 03:50:00","0.07"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 03:55:00","0.06"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 04:00:00","0.05"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 04:05:00","0.04"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 04:10:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 04:15:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 04:20:00","0.05"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 04:25:00","0.01"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 05:00:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 08:40:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 08:55:00","0.04"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 09:15:00","0.18"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 09:20:00","0.21"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 09:25:00","0.03"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 09:30:00","0.07"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 09:35:00","0.05"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 09:40:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 10:10:00","0.16"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 10:15:00","0.14"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 10:20:00","0.02"
"Calaveras Creek Dam","29.36972","-98.33231","2018-03-28 10:30:00","0.01"
