,addresses,zip,lat,long,short-zip
123,12251 Farview Ln,78216-8507,29.552474,-98.475009,78216
124,630 Ware Blvd,78221-1938,29.34894,-98.491038,78221
125,1043 Kentucky Ave,78201-6047,29.446674,-98.528766,78201
126,207 Mayberry Ave,78228-6030,29.440263,-98.564361,78228
127,108 Chappie James Way,78236-0122,29.386901,-98.599855,78236
128,130 Ligustrum Dr E,78228-4007,29.465403,-98.563556,78228
129,111 Yolanda,78228-5860,29.442273,-98.578782,78228
130,1235 Lombrano St,78207-1420,29.443226,-98.528911,78207
131,8100 Marbach Rd,78227-1686,29.417817,-98.647048,78227
132,612 Avondale Ave,78223-2617,29.370659,-98.456302,78223
