,0,1,2,3,4
location_name,Calaveras Creek Dam,Calaveras Creek Dam,Calaveras Creek Dam,Calaveras Creek Dam,Calaveras Creek Dam
latitude,29.36972,29.36972,29.36972,29.36972,29.36972
longitude,-98.33230999999999,-98.33230999999999,-98.33230999999999,-98.33230999999999,-98.33230999999999
date_time,2018-01-02 11:45:00,2018-01-16 00:30:00,2018-01-16 01:00:00,2018-01-17 00:05:00,2018-01-17 13:25:00
five_minute_rainfall,0.01,0.01,0.01,0.02,0.01
