report_date,total_gallons,gallons_returned,spill_start,spill_stop,hours,cause,actions,watershed,unit_id_1,unit_id_2,discharge_to,discharge_route,council_district,month,year,week,edwards_zone,pipe_diameter,pipe_length,pipe_type,installation_year,inches_no,rainfall_less_3,num_spills_compkey,num_spills_24mos,unit_type,asset_type,last_cleaned,response_time,response_datetime,public_notice,time_int,root_cause,steps_to_prevent,spill_street_address,multiple_spills
2019-02-13,113,0.0,2/13/2019 1:07:00 PM,2/13/2019 3:00:00 PM,1.8833333330000002,structural,cleaned lateral,leon creek,69611,69610,ground,none,4,2,2019,7,0,8.0,300.0,pvc,1979,0.0,0.0,1,1,gravity,sewer main,,1.63,2019-02-13,False,120,structural,na,5126 Gwenda Lea,False
2019-02-04,150,0.0,2/4/2019 9:00:00 PM,2/4/2019 9:30:00 PM,0.5,contractor,cleaned main,leon creek,1004735,1004741,drainage culvert,leon creek,0,2,2019,6,0,8.0,291.5402759,pvc,2016,0.0,0.0,1,1,gravity,sewer main,,0.00,2019-02-04,False,12,contractor,"Increase FCS, ",12014 Canyon Rock Ln,False
2019-02-02,1525,0.0,2/2/2019 8:55:00 AM,2/2/2019 9:56:00 AM,1.016666667,debris,cleaned main,leon creek,53732,53733,drainage culvert,none,6,2,2019,5,0,8.0,415.61,pvc,1987,0.0,0.0,1,1,gravity,sewer main,,0.00,2019-02-02,False,120,contractor,"Increase FCS, ",4315 Rogers Rd,False
2019-01-31,2000,2000.0,1/31/2019 10:35:00 AM,1/31/2019 10:35:00 AM,0.0,structural,repaired force main,leon creek,1035473,64405,drainage culvert,none,4,1,2019,5,0,8.0,931.0,cas,1988,0.0,0.0,5,1,force,sewer main,,0.00,2019-01-31,False,0,structural,na,9765 Potranco Rd,False
2019-01-26,2500,0.0,1/26/2019 9:00:00 AM,1/26/2019 10:40:00 AM,1.6666666669999999,contractor - contractor damaged 8 inch force main,repaired force main,salado creek,940096,940095,drainage culvert,none,0,1,2019,4,1,8.0,76.34,pvc,2006,0.0,0.0,1,1,force,sewer force main,,0.50,2019-01-26,False,0,contractor,"Point Repair, ",21700 Angostura Blvd,False
2019-01-25,176,0.0,1/25/2019 10:17:00 AM,1/25/2019 11:45:00 AM,1.466666667,structural,cleaned main,leon creek,84265,84264,street,none,4,1,2019,4,0,8.0,297.15,vcp,1961,0.0,0.0,1,1,gravity,sewer main,,0.72,2019-01-25,False,12,structural,"Design Request, ",109 Westoak Rd,False
2019-01-25,2900,0.0,1/25/2019 4:49:00 PM,1/25/2019 6:45:00 PM,1.9333333330000002,debris,cleaned main,dos rios,1022497,18543,drainage culvert,none,6,1,2019,4,0,8.0,60.0,pvc,2001,0.0,0.0,1,1,gravity,sewer main,,1.52,2019-01-25,False,3,debris,"Increase FCS, ",450 S Acme Rd,False
2019-01-24,1000,0.0,1/24/2019 8:40:00 PM,1/24/2019 8:50:00 PM,0.166666667,grease,cleaned main,dos rios,78976,78759,stormdrain,none,8,1,2019,4,0,8.0,323.0,hdpe,2014,0.0,0.0,2,1,gravity,sewer main,,0.00,2019-01-24,False,12,grease,"Increase FCS, ",11723 Whisper Valley,False
2019-01-24,315,0.0,1/24/2019 6:27:00 PM,1/24/2019 7:30:00 PM,1.05,grease,cleaned main,leon creek,68970,69020,drainage culvert,none,4,1,2019,4,0,8.0,270.0,vcp,1972,0.0,0.0,1,1,gravity,sewer main,,0.83,2019-01-24,False,12,grease,"Point Repair, ",6019 Stoney Creek Dr,False
2019-01-23,103,0.0,1/23/2019 1:42:00 PM,1/23/2019 3:25:00 PM,1.716666667,grease,cleaned main,dos rios,20026,20589,street,none,5,1,2019,4,0,10.0,403.2,pvc,1982,0.0,0.0,1,1,gravity,sewer main,,1.22,2019-01-23,False,120,grease,"Increase FCS, ",200 Castroville Rd,False
2019-01-22,900,900.0,1/22/2019 10:54:00 AM,1/22/2019 11:30:00 AM,0.6,contractor,repaired by-pass line,dos rios,507003,10878,drainage culvert,none,9,1,2019,4,0,12.0,199.0,hdpe,2012,0.0,0.0,1,1,gravity,sewer main,,0.00,2019-01-22,False,6,contractor,na,3709 N St Mary'S St,False
2019-01-22,45000,0.0,1/22/2019 6:18:00 PM,1/22/2019 11:05:00 PM,4.783333333,structural,repaired force main,salado creek,LS191PMP02,59375,creek bed - spilled into dry creek bed of mudd crk - over the edwards aquifer recharge zone,mudd creek,0,1,2019,4,0,0.0,0.0,na,9999,0.0,0.0,1,1,pmpsubm,sewer pump,,1.53,2019-01-22,False,0,structural,"Point Repair, ",20710 Cactus Loop,False
2019-01-12,2192,0.0,1/12/2019 5:13:00 PM,1/12/2019 7:30:00 PM,2.28,i/i,monitored area,salado creek,60181,483395,ground,none,10,1,2019,2,0,33.0,35.0,cas,1973,0.0,0.0,1,1,siphon,sewer main,,0.62,2019-01-12,False,0,rain event,"Capacity Project, ",1804 Austin Hwy,False
2019-01-07,1455,0.0,1/7/2019 10:45:00 AM,1/8/2019 11:00:00 AM,24.25,structural,repaired lateral,dos rios,33518,na,alley,none,5,1,2019,2,0,6.0,0.0,pvc,9999,0.0,0.0,1,1,lateral,sewer service line,,0.05,2019-01-07,False,0,structural,na,3310 Saunders,False
2019-01-06,100,0.0,1/6/2019 12:40:00 PM,1/6/2019 1:40:00 PM,1.0,debris,cleaned lateral,medio creek,84689,85234,street,none,4,1,2019,2,0,8.0,400.0,vcp,1973,0.0,0.0,1,1,gravity,sewer main,,0.00,2019-01-06,False,12,debris,"Increase FCS, ",1231 Rio Linda,False
2019-01-06,48000,0.0,1/6/2019 10:00:00 PM,1/7/2019 2:00:00 AM,4.0,structural,monitored area,leon creek,903059,71380,creek bed - spilled into leon creek,leon creek,6,1,2019,2,0,42.0,1301.0,rcp,1973,0.0,0.0,11,9,outfall,sewer main,,0.00,2019-01-06,False,0,rain event,"Capacity Project, ",6606 Swiss Oaks,False
2019-01-05,8500,0.0,1/5/2019 6:10:00 PM,1/5/2019 9:00:00 PM,2.833333333,structural,monitored area,salado creek,48128,47427,creek bed - spilled into salado creek,salado creek,10,1,2019,1,0,42.0,152.0,rcp,1965,0.0,0.0,5,2,outfall,sewer main,,1.08,2019-01-05,False,120,rain event,"Capacity Project, ",100 Ira Lee Rd,False
2019-01-02,194,0.0,1/2/2019 12:06:00 PM,1/2/2019 3:20:00 PM,3.233333333,debris,cleaned main,dos rios,92687,92579,street,none,3,1,2019,1,0,6.0,8.7,dip,1948,0.0,0.0,4,1,siphon,sewer main,,3.15,2019-01-02,False,12,debris,"Increase FCS, ",500 Groos Ave,False
2019-01-02,14680,0.0,1/2/2019 10:03:00 PM,1/3/2019 4:10:00 AM,6.1166666670000005,i/i,diluted by heavy rainwater,salado creek,48128,47427,creek bed - spilled into salado creek,salado creek,10,1,2019,1,0,42.0,152.0,rcp,1965,0.0,0.0,4,1,outfall,sewer main,,0.28,2019-01-02,False,120,rain event,"Capacity Project, ",100 Ira Lee Rd,False
2018-12-27,2175,0.0,12/27/2018 10:53:00 AM,12/27/2018 12:20:00 PM,1.45,debris,cleaned main,dos rios,2318,1978,stormdrain,none,1,12,2018,52,0,8.0,205.0,pvc,1986,0.0,0.0,2,1,gravity,sewer main,,0.37,2018-12-27,False,24,debris,"Increase FCS, ",1538 Clower St,False
2018-12-27,50,0.0,12/27/2018 10:35:00 AM,12/27/2018 10:45:00 AM,0.166666667,structural,cleaned main,dos rios,42854,42855,street,none,2,12,2018,52,0,8.0,288.0,cp,2004,0.0,0.0,1,1,gravity,sewer main,,0.00,2018-12-27,False,3,structural,"Design Request, ",346 J St,False
2018-12-26,4460,0.0,12/26/2018 8:19:00 AM,12/26/2018 12:02:00 PM,3.7166666669999997,structural,cleaned main,salado creek,50606,50525,drainage culvert,none,10,12,2018,52,0,8.0,195.87,vcp,1971,0.0,0.0,2,1,gravity,sewer main,,3.18,2018-12-26,False,24,structural,"Point Repair, ",5350 Encanta,False
