,0,1,2,3,4
location_name,SAR 01 (Lonestar),SAR 01 (Lonestar),SAR 01 (Lonestar),SAR 01 (Lonestar),SAR 01 (Lonestar)
latitude,29.4019,29.4019,29.4019,29.4019,29.4019
longitude,-98.48849,-98.48849,-98.48849,-98.48849,-98.48849
date,2018-06-20,2018-06-21,2018-06-22,2018-06-23,2018-06-24
daily_average_stage,1.12641791,1.09612676,0.83378947,0.95723776,0.93552083
tranducer_elevation,602.3,602.3,602.3,602.3,602.3
